BEER,BREWERY,LOCATION,STYLE,SUBSTYLE,,SIZE,ABV,IBUs,Unique
Narragansett Porter,Narragansett Brewing Company,"Providence, RI",Stout/Porter,American Porter,,16,0.07,22,a43
Boji Beach Golden Rye Ale,Okoboji Brewing Company,"Spirit Lake, IA",Other Ale,Rye Beer,,16,0.05,23,a44
Summertime Ale,Crystal Springs Brewing Company,"Boulder, CO",Other Ale,Kê_lsch,,16,0.052,23,a45
Bourbon Barrel Wee Mac,Sun King Brewing Company,"Indianapolis, IN",Other Ale,Scottish Ale,,16,0.054,23,a46
Wee Mac Scottish-Style Ale,Sun King Brewing Company,"Indianapolis, IN",Other Ale,Scottish Ale,,16,0.054,23,a47
Sun King Oktoberfest (2011),Sun King Brewing Company,"Indianapolis, IN",Oktoberfest,Mê_rzen / Oktoberfest,,16,0.055,23,a48
Sun King Oktoberfest,Sun King Brewing Company,"Indianapolis, IN",Oktoberfest,Mê_rzen / Oktoberfest,,16,0.055,23,a49
Great Crescent Dark Lager,Great Crescent Brewery,"Aurora, IN",Lager,Euro Dark Lager,,16,0.057,23,a50
Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",Other Ale,American Pale Wheat Ale,,16,0.042,24,a51
Cache La Porter,Pateros Creek Brewing Company,"Fort Collins, CO",Stout/Porter,American Porter,,16,0.05,24,a52
Louie_ã_s Demise Ale (2010),Milwaukee Brewing Company,"Milwaukee, WI",Red Ale,American Amber / Red Ale,,16,0.051,24,a53
Indianapolis Indians Lager,Sun King Brewing Company,"Indianapolis, IN",Lager,Dortmunder / Export Lager,,16,0.052,24,a54
Indians Victory Lager (2012),Sun King Brewing Company,"Indianapolis, IN",Lager,Dortmunder / Export Lager,,16,0.052,24,a55
The Velvet Fog,Sun King Brewing Company,"Indianapolis, IN",Other Ale,Quadrupel (Quad),,16,0.09,24,a56
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,"Davenport, IA",Red Ale,American Amber / Red Ale,,16,0.048,25,a57
Dottie Seattle Lager,Emerald City Beer Company,"Seattle, WA",Lager,American Amber / Red Lager,,16,0.049,25,a58
5:00 O'Clock Afternoon Ale,Renegade Brewing Company,"Denver, CO",Other Ale,American Blonde Ale,,16,0.05,25,a59
Horny Toad Cerveza,COOP Ale Works,"Oklahoma City, OK",Other Ale,American Blonde Ale,,16,0.053,25,a60
Old Tom Porter,Piney River Brewing Company,"Bucryus, MO",Stout/Porter,American Porter,,16,0.055,25,a61
Great Crescent Oktoberfest Lager,Great Crescent Brewery,"Aurora, IN",Oktoberfest,Mê_rzen / Oktoberfest,,16,0.057,25,a62
Oktoberfest,Great River Brewery,"Davenport, IA",Oktoberfest,Mê_rzen / Oktoberfest,,16,0.059,25,a63
Frosted Fields Winter Wheat,Great Crescent Brewery,"Aurora, IN",Other Ale,American Dark Wheat Ale,,16,0.06,25,a64
Great Crescent Mild Ale,Great Crescent Brewery,"Aurora, IN",Other Ale,English Dark Mild Ale,,16,0.042,26,a65
Select #32 Stout,Okoboji Brewing Company,"Spirit Lake, IA",Stout/Porter,American Stout,,16,0.057,26,a66
Big Al Irish Red,Big Al Brewing,"Seattle, WA",Other Ale,Irish Red Ale,,16,0.06,26,a67
33 Select Brown Ale,Okoboji Brewing Company,"Spirit Lake, IA",Other Ale,American Brown Ale,,16,0.065,26,a68
Deadicated Amber,Devil's Canyon Brewery,"Belmont, CA",Red Ale,American Amber / Red Ale,,16,0.054,27,a69
Aurora Lager,Great Crescent Brewery,"Aurora, IN",Lager,Dortmunder / Export Lager,,16,0.057,27,a70
Ring of Dingle,Sun King Brewing Company,"Indianapolis, IN",Stout/Porter,Irish Dry Stout,,16,0.071,27,a71
Car 21,Pateros Creek Brewing Company,"Fort Collins, CO",English Bitter,English Bitter,,16,0.044,28,a72
Shift,New Belgium Brewing Company,"Fort Collins, CO",Lager,American Pale Lager,,16,0.05,29,a73
Midwest Charm Farmhouse Ale,Okoboji Brewing Company,"Spirit Lake, IA",Other Ale,Saison / Farmhouse Ale,,16,0.06,29,a74
Crabtree Oatmeal Stout,Crabtree Brewing Company,"Greeley, CO",Stout/Porter,Oatmeal Stout,,16,0.075,29,a75
Owney Irish Style Red Ale,Great River Brewery,"Davenport, IA",Red Ale,Irish Red Ale,,16,0.05,30,a76
British Pale Ale,7 Seas Brewing Company,"Gig Harbor, WA",Other Ale,English Pale Ale,,16,0.054,30,a77
British Pale Ale (2010),7 Seas Brewing Company,"Gig Harbor, WA",Other Ale,English Pale Ale,,16,0.054,30,a78
Roller Dam Red Ale (2010),Great River Brewery,"Davenport, IA",Red Ale,Irish Red Ale,,16,0.054,30,a79
Roller Dam Red Ale,Great River Brewery,"Davenport, IA",Red Ale,Irish Red Ale,,16,0.054,30,a80
Farm Girl Saison,Lift Bridge Brewing Company,"Stillwater, MN",Other Ale,Saison / Farmhouse Ale,,16,0.06,30,a81
Hilliard's Saison,Hilliard's Beer,"Seattle, WA",Other Ale,Saison / Farmhouse Ale,,16,0.066,30,a82
Wee Muckle,Sun King Brewing Company,"Indianapolis, IN",Other Ale,Scotch Ale / Wee Heavy,,16,0.09,30,a83
Wisco Disco,Stillmank Beer Company,"Green Bay, WI",Red Ale,American Amber / Red Ale,,16,0.051,31,a84
South Ridge Amber Ale,Crystal Springs Brewing Company,"Boulder, CO",Red Ale,American Amber / Red Ale,,16,0.06,31,a85
P-51 Porter,Wingman Brewers,"Tacoma, WA",Stout/Porter,American Porter,,16,0.08,31,a86
HUB Lager,Hopworks Urban Brewery,"Portland, OR",Pilsner,Czech Pilsener,,16,0.051,32,a87
Narragansett Bock,Narragansett Brewing Company,"Providence, RI",Lager,Bock,,16,0.065,32,a88
Pre Flight Pilsner,Airways Brewing Company,"Kent, WA",Pilsner,American Pilsner,,16,0.052,33,a89
Great Crescent Coconut Porter,Great Crescent Brewery,"Aurora, IN",Stout/Porter,American Porter,,16,0.056,33,a90
CynicAle,Surly Brewing Company,"Brooklyn Center, MN",Other Ale,Saison / Farmhouse Ale,,16,0.067,33,a91
Sweet Action,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,Cream Ale,,16,0.052,34,a92
Hilliard's Pils,Hilliard's Beer,"Seattle, WA",Pilsner,Czech Pilsener,,16,0.055,34,a93
SurlyFest,Surly Brewing Company,"Brooklyn Center, MN",Rye,Rye Beer,,16,0.055,34,a94
Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,"Westerly, RI",Stout/Porter,American Porter,,16,0.06,34,a95
Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Pilsner,Czech Pilsener,,16,0.045,35,a96
Harbinger,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,Saison / Farmhouse Ale,,16,0.049,35,a97
1881 California Red Ale,Ruhstaller Beer Company,"Sacramento, CA",Red Ale,American Amber / Red Ale,,16,0.056,35,a98
Original Orange Blossom Ale (Current),Buckbean Brewing Company,"Reno, NV",Other Ale,Herbed / Spiced Beer,,16,0.058,35,a99
Native Amber,COOP Ale Works,"Oklahoma City, OK",Red Ale,American Amber / Red Ale,,16,0.063,35,a100
Great Crescent Brown Ale,Great Crescent Brewery,"Aurora, IN",Other Ale,American Brown Ale,,16,0.045,36,a101
Alloy,Tin Man Brewing Company,"Evansville, IN",American IPA,American IPA,,16,0.058,36,a102
Redband Stout,Great River Brewery,"Davenport, IA",Stout/Porter,American Stout,,16,0.06,36,a103
Bitter Brewer,Surly Brewing Company,"Brooklyn Center, MN",English Bitter,English Bitter,,16,0.04,37,a104
Black Noddy Lager (Current),Buckbean Brewing Company,"Reno, NV",Lager,Schwarzbier,,16,0.052,40,a105
Tule Duck Red Ale (Current),Buckbean Brewing Company,"Reno, NV",Red Ale,American Amber / Red Ale,,16,0.062,42,a106
Desolation IPA,Amnesia Brewing Company,"Portland, OR",American IPA,American IPA,,16,0.062,43,a107
Big Al Smoked Porter,Big Al Brewing,"Seattle, WA",Stout/Porter,Smoked Beer,,16,0.058,44,a108
Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,American IPA,,16,0.065,44,a109
Boji Blue Pale Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Pale Ale (APA),American Pale Ale (APA),,16,0.05,45,a110
Bender,Surly Brewing Company,"Brooklyn Center, MN",Other Ale,American Brown Ale,,16,0.051,45,a111
Coffee Bender,Surly Brewing Company,"Brooklyn Center, MN",Other Ale,American Brown Ale,,16,0.051,45,a112
Hoppy Redhead,Ellersick Brewing Company (Big E...,"Lynnwood, WA",Other Ale,Extra Special / Strong Bitter (ESB),,16,0.065,45,a113
Pine Belt Pale Ale,Southern Star Brewing Company,"Conroe, TX",American Pale Ale (APA),American Pale Ale (APA),,16,0.065,45,a114
Brownstone,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,American Brown Ale,,16,0.059,47,a115
483 Pale Ale (2010),Great River Brewery,"Davenport, IA",American Pale Ale (APA),American Pale Ale (APA),,16,0.053,48,a116
483 Pale Ale,Great River Brewery,"Davenport, IA",American Pale Ale (APA),American Pale Ale (APA),,16,0.053,48,a117
Stimulator Pale Ale,Pateros Creek Brewing Company,"Fort Collins, CO",American Pale Ale (APA),American Pale Ale (APA),,16,0.053,48,a118
Autumnation,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,Pumpkin Ale,,16,0.06,48,a119
3 Gear Robust Porter,Tin Man Brewing Company,"Evansville, IN",Stout/Porter,American Porter,,16,0.052,50,a120
Eddy Out Pale Ale,Kettle House Brewing Company,"Missoula, MT",American Pale Ale (APA),American Pale Ale (APA),,16,0.055,50,a121
Osiris Pale Ale,Sun King Brewing Company,"Indianapolis, IN",American Pale Ale (APA),American Pale Ale (APA),,16,0.056,50,a122
Bronx Pale Ale,The Bronx Brewery,"Bronx, NY",American Pale Ale (APA),American Pale Ale (APA),,16,0.063,50,a123
Hop Happy,Milwaukee Brewing Company,"Milwaukee, WI",American IPA,American IPA,,16,0.075,51,a124
Becky's Black Cat Porter,Seven Brides Brewery,"Silverton, OR",Stout/Porter,American Porter,,16,0.07,55,a125
The Captain,Ruhstaller Beer Company,"Sacramento, CA",Other Ale,American Black Ale,,16,0.073,55,a126
Righteous Ale,Sixpoint Craft Ales,"Brooklyn, NY",Rye,Rye Beer,,16,0.063,57,a127
Hilliard's Amber Ale,Hilliard's Beer,"Seattle, WA",Red Ale,American Amber / Red Ale,,16,0.055,60,a128
Rise-Up Red,Hopworks Urban Brewery,"Portland, OR",Red Ale,American Amber / Red Ale,,16,0.058,60,a129
Tallgrass IPA,Tallgrass Brewing Company,"Manhattan, KS",American IPA,American IPA,,16,0.063,60,a130
Bourbon Barrel Johan,Sun King Brewing Company,"Indianapolis, IN",Other Ale,English Barleywine,,16,0.1,60,a131
Johan the Barleywine,Sun King Brewing Company,"Indianapolis, IN",Other Ale,English Barleywine,,16,0.1,60,a132
Bengali Tiger,Sixpoint Craft Ales,"Brooklyn, NY",American IPA,American IPA,,16,0.064,62,a133
Hoppy Boy,Twisted Pine Brewing Company,"Boulder, CO",American IPA,American IPA,,16,0.062,65,a134
Hop Villain,Big Al Brewing,"Seattle, WA",Other Ale,American Black Ale,,16,0.064,65,a135
Double Haul IPA,Kettle House Brewing Company,"Missoula, MT",American IPA,American IPA,,16,0.065,65,a136
Double Haul IPA (2006),Kettle House Brewing Company,"Missoula, MT",American IPA,American IPA,,16,0.065,65,a137
Double Haul IPA (2009),Kettle House Brewing Company,"Missoula, MT",American IPA,American IPA,,16,0.065,65,a138
Torpedo,Sierra Nevada Brewing Company,"Chico, CA",American IPA,American IPA,,16,0.072,65,a139
Bourbon's Barrel Stout,Great Crescent Brewery,"Aurora, IN",Stout/Porter,American Stout,,16,0.075,65,a140
Great Crescent Stout,Great Crescent Brewery,"Aurora, IN",Stout/Porter,English Stout,,16,0.08,66,a141
Big Hoppa India Pale Ale,Big Al Brewing,"Seattle, WA",American IPA,American IPA,,16,0.06,68,a142
Diesel,Sixpoint Craft Ales,"Brooklyn, NY",Stout/Porter,American Stout,,16,0.063,69,a143
Ranger IPA,New Belgium Brewing Company,"Fort Collins, CO",American IPA,American IPA,,16,0.065,70,a144
Big Cock IPA,Great River Brewery,"Davenport, IA",American IPA,American IPA,,16,0.07,70,a145
Missouri Mule India Pale Ale,Piney River Brewing Company,"Bucryus, MO",American IPA,American IPA,,16,0.07,70,a146
Abominable Winter Ale,Hopworks Urban Brewery,"Portland, OR",Other Ale,American Strong Ale,,16,0.073,70,a147
Burning Bush Smoked IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,American IPA,,16,0.08,70,a148
Wolf Among Weeds IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,American IPA,,16,0.08,70,a149
Eclipse Black IPA,Crabtree Brewing Company,"Greeley, CO",Other Ale,American Black Ale,,16,0.077,71,a150
Firestarter India Pale Ale,Bonfire Brewing Company,"Eagle, CO",American IPA,American IPA,,16,0.066,72,a151
Fascist Pig Ale,Finch's Beer Company,"Chicago, IL",Red Ale,American Amber / Red Ale,,16,0.08,72,a152
Crank Yanker IPA,Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,American IPA,,16,0.078,74,a153
Rude Parrot IPA,7 Seas Brewing Company,"Gig Harbor, WA",American IPA,American IPA,,16,0.059,75,a154
Hopworks IPA,Hopworks Urban Brewery,"Portland, OR",American IPA,American IPA,,16,0.066,75,a155
Des Moines IPA,Confluence Brewing Company,"Des Moines, IA",American IPA,American IPA,,16,0.068,75,a156
RPM IPA,Boneyard Beer,"Bend, OR",American IPA,American IPA,,16,0.07,75,a157
Old Elephant Foot IPA,Tampa Bay Brewing Company,"Tampa, FL",American IPA,American IPA,,16,0.07,80,a158
Ballz Deep Double IPA,7 Seas Brewing Company,"Gig Harbor, WA",Other Ale,American Double / Imperial IPA,,16,0.084,82,a159
Ace IPA,Wingman Brewers,"Tacoma, WA",American IPA,American IPA,,16,0.074,83,a160
Disconnected Red,Big Choice Brewing,"Broomfield, CO",Red Ale,American Amber / Red Ale,,16,0.067,85,a161
California Sunshine IPA,Devil's Canyon Brewery,"Belmont, CA",American IPA,American IPA,,16,0.071,85,a162
Black Adder IBA (Current),Buckbean Brewing Company,"Reno, NV",Other Ale,American Black Ale,,16,0.073,85,a163
G'KNIGHT (16 oz.),Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,16,0.087,85,a164
Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,"Woodbridge, CT",Other Ale,American Double / Imperial IPA,,16,0.088,85,a165
Ex Umbris Rye Imperial Stout,Hess Brewing Company,"San Diego, CA",Stout/Porter,American Double / Imperial Stout,,16,0.1,85,a166
Old Grogham Imperial India Pale Ale,Natian Brewery,"Portland, OR",Other Ale,American Double / Imperial IPA,,16,0.085,86,a167
WET,Surly Brewing Company,"Brooklyn Center, MN",American IPA,American IPA,,16,0.075,90,a168
Winterfest,Sockeye Brewing Company,"Boise, ID",Other Ale,American Strong Ale,,16,0.084,90,a169
Isis,Sun King Brewing Company,"Indianapolis, IN",Other Ale,American Double / Imperial IPA,,16,0.091,91,a170
Oasis (2010),Tallgrass Brewing Company,"Manhattan, KS",Other Ale,American Double / Imperial IPA,,16,0.072,93,a171
Vortex IPA,Fort George Brewery,"Astoria, OR",American IPA,American IPA,,16,0.074,97,a172
Furious,Surly Brewing Company,"Brooklyn Center, MN",American IPA,American IPA,,16,0.062,99,a173
Hop-A-Potamus Rye PA,Great River Brewery,"Davenport, IA",Other Ale,American Double / Imperial IPA,,16,0.09,99,a174
Ryeteous Rye IPA,Renegade Brewing Company,"Denver, CO",American IPA,American IPA,,16,0.07,100,a175
Elevated IPA,La Cumbre Brewing Company,"Albuquerque, NM",American IPA,American IPA,,16,0.072,100,a176
Cream Dream V: I Thought We Were Buddies_ã_,Sun King Brewing Company,"Indianapolis, IN",Other Ale,American Double / Imperial IPA,,16,0.09,100,a177
Frankenlou's IPA,Seven Brides Brewery,"Silverton, OR",American IPA,American IPA,,16,0.07,105,a178
Heady Topper (2011),Alchemist Cannery,"Waterbury, VT",Other Ale,American Double / Imperial IPA,,16,0.08,120,a179
Heady Topper,Alchemist Cannery,"Waterbury, VT",Other Ale,American Double / Imperial IPA,,16,0.08,120,a180
Abrasive Ale,Surly Brewing Company,"Brooklyn Center, MN",Other Ale,American Double / Imperial IPA,,16,0.097,120,a181
Summer Solstice Cerveza Crema,Anderson Valley Brewing Company,"Boonville, CA",Other Ale,Cream Ale,,12,0.056,4,a182
Summer Solstice Cerveza Crema (2009),Anderson Valley Brewing Company,"Boonville, CA",Other Ale,Cream Ale,,12,0.056,4,a183
Devils Tramping Ground Tripel,Aviator Brewing Company,"Fuquay-Varina, NC",Other Ale,Tripel,,12,0.092,5,a184
Winter Solstice,Anderson Valley Brewing Company,"Boonville, CA",Other Ale,Winter Warmer,,12,0.069,6,a185
Point Nude Beach Summer Wheat (2010),Stevens Point Brewery,"Stevens Point, WI",Other Ale,American Pale Wheat Ale,,12,0.05,7,a186
Point Nude Beach Summer Wheat (2011),Stevens Point Brewery,"Stevens Point, WI",Other Ale,American Pale Wheat Ale,,12,0.05,7,a187
Point Nude Beach Summer Wheat,Stevens Point Brewery,"Stevens Point, WI",Other Ale,American Pale Wheat Ale,,12,0.05,7,a188
O'Fallon Wheach,O'Fallon Brewery,"O'Fallon, MO",Fruit,Fruit / Vegetable Beer,,12,0.051,7,a189
Samuel Adams Summer Ale,Boston Beer Company,"Boston, MA",Other Ale,American Pale Wheat Ale,,12,0.053,7,a190
Blackbeary Wheat,Long Trail Brewing Company,"Bridgewater Corners, VT",Fruit,Fruit / Vegetable Beer,,12,0.04,8,a191
Dirty Blonde Ale,Atwater Brewery,"Detroit, MI",Other Ale,American Blonde Ale,,12,0.045,8,a192
Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,"Krebs, OK",Other Ale,American Dark Wheat Ale,,12,0.04,9,a193
Point Special Lager,Stevens Point Brewery,"Stevens Point, WI",Lager,American Adjunct Lager,,12,0.047,9,a194
Wachusett Blueberry Ale,Wachusett Brewing Company,"Westminster, MA",Fruit,Fruit / Vegetable Beer,,12,0.045,10,a195
EOS Hefeweizen,Nebraska Brewing Company,"Papillion, NE",Wheat,Hefeweizen,,12,0.048,10,a196
UFO White,Harpoon Brewery,"Boston, MA",Other Ale,American Pale Wheat Ale,,12,0.048,10,a197
Mustang Golden Ale,Mustang Brewing Company,"Mustang, OK",Other Ale,American Blonde Ale,,12,0.053,10,a198
White Rascal,Avery Brewing Company,"Boulder, CO",Wheat,Witbier,,12,0.056,10,a199
Royal Weisse Ale,Sly Fox Brewing Company,"Phoenixville, PA",Wheat,Hefeweizen,,12,0.056,11,a200
Dry Dock Hefeweizen,Dry Dock Brewing Company,"Aurora, CO",Wheat,Hefeweizen,,12,0.043,12,a201
Woolybugger Wheat,Sockeye Brewing Company,"Boise, ID",Other Ale,American Pale Wheat Ale,,12,0.046,12,a202
Festie,Starr Hill Brewery,"Crozet, VA",Oktoberfest,Morzen / Oktoberfest,,12,0.048,12,a203
Snowshoe White Ale,Midnight Sun Brewing Company,"Anchorage, AK",Wheat,Witbier,,12,0.048,12,a204
Atwater's Lager,Atwater Brewery,"Detroit, MI",Lager,Munich Helles Lager,,12,0.05,12,a205
Blueberry Blonde Ale,Matt Brewing Company,"Utica, NY",Other Ale,American Blonde Ale,,12,0.05,12,a206
La Perouse White,Maui Brewing Company,"Lahaina, HI",Other Ale,Witbier,,12,0.05,12,a207
Purple Haze,Abita Brewing Company,"Abita Springs, LA",Fruit,Fruit / Vegetable Beer,,12,0.042,13,a208
Three Kings Ale,Stevens Point Brewery,"Stevens Point, WI",Other Ale,Kolsch,,12,0.049,13,a209
Elder Betty,Magic Hat Brewing Company,"South Burlington, VT",Wheat,Hefeweizen,,12,0.055,13,a210
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,"Boonville, CA",Stout/Porter,Oatmeal Stout,,12,0.057,13,a211
Hangar 24 Helles Lager,Hangar 24 Craft Brewery,"Redlands, CA",Lager,Munich Helles Lager,,12,0.043,14,a212
Point Amber Classic,Stevens Point Brewery,"Stevens Point, WI",Lager,American Amber / Red Lager,,12,0.047,14,a213
Bottom Up Belgian Wit,Revolution Brewing Company,"Chicago, IL",Other Ale,Witbier,,12,0.05,14,a214
Washita Wheat,Mustang Brewing Company,"Mustang, OK",Other Ale,American Pale Wheat Ale,,12,0.053,14,a215
Black Star Double Hopped Golden Lager (12 oz.),Great Northern Brewing Company,"Whitefish, MT",Lager,American Pale Lager,,12,0.045,15,a216
SummerBright Ale,Breckenridge Brewery,"Denver, CO",Other Ale,American Pale Wheat Ale,,12,0.045,15,a217
Brunette Nut Brown Ale,Nebraska Brewing Company,"Papillion, NE",Other Ale,English Brown Ale,,12,0.048,15,a218
Top Rope Mexican-style Craft Lager,Upslope Brewing Company,"Boulder, CO",Lager,Vienna Lager,,12,0.048,15,a219
Northern Lights Amber Ale,Broken Tooth Brewing Company,"Anchorage, AK",Other Ale,American Amber / Red Ale,,12,0.05,15,a220
SanTan HefeWeizen (2010),SanTan Brewing Company,"Chandler, AZ",Wheat,Hefeweizen,,12,0.05,15,a221
SanTan HefeWeizen,SanTan Brewing Company,"Chandler, AZ",Wheat,Hefeweizen,,12,0.05,15,a222
Joseph James American Lager,Joseph James Brewing Company,"Henderson, NV",Lager,American Adjunct Lager,,12,0.052,15,a223
Lava Lake Wit,Crazy Mountain Brewing Company,"Edwards, CO",Other Ale,Witbier,,12,0.052,15,a224
Weisse Versa,Karbach Brewing Company,"Houston, TX",Wheat,Hefeweizen,,12,0.052,15,a225
Mana Wheat,Maui Brewing Company,"Lahaina, HI",Other Ale,American Pale Wheat Ale,,12,0.055,15,a226
Point Oktoberfest,Stevens Point Brewery,"Stevens Point, WI",Oktoberfest,Mê_rzen / Oktoberfest,,12,0.057,15,a227
Boont Amber Ale,Anderson Valley Brewing Company,"Boonville, CA",Red Ale,American Amber / Red Ale,,12,0.058,15,a228
Boont Amber Ale (2010),Anderson Valley Brewing Company,"Boonville, CA",Red Ale,American Amber / Red Ale,,12,0.058,15,a229
Rosa Hibiscus Ale,Revolution Brewing Company,"Chicago, IL",Other Ale,Herbed / Spiced Beer,,12,0.058,15,a230
Lawnmower Lager,Caldera Brewing Company,"Ashland, OR",Lager,American Adjunct Lager,,12,0.039,16,a231
Schlafly Hefeweizen,Schlafly Brewing Company,"Saint Louis, MO",Wheat,Hefeweizen,,12,0.041,16,a232
Blue Point Summer Ale,Blue Point Brewing Company,"Patchogue, NY",Other Ale,American Blonde Ale,,12,0.044,16,a233
